id,title,title_py,title_en,product_info,product_info_en,group_id,group_session_id,category_id,cur_category_name_en,cur_category_name,hall_id,cur_hall_name,area_id,area,area_en,cur_area_name,logo,bg_cover,pos_no,addr,desc,sort,delete_time,create_time,update_time,hsort
42579,瑞孚信江苏药业股份有限公司,rfxjsyygfyxgs,"Rivocean Jiangsu Pharmaceutical Co.,Ltd.",[],[],11,24,91,Pharma Ingredients,制药原料,186,W1——W1,,中国大陆,China Mainland,,,,W1D36,,,0,,2024-05-16 20:29:16,2024-05-16 20:29:16,瑞孚信江苏药业股份有限公司
42526,人福医药集团股份公司,rfyyjtgfgs,"Humanwell Healthcare (Group) Co.,Ltd.",[],[],11,24,91,Pharma Ingredients,制药原料,186,W1——W1,,中国大陆,China Mainland,,,,W1G20a,,,0,,2024-05-16 20:29:16,2024-05-16 20:29:16,人福医药集团股份公司
43298,乳山市上邦新材料有限公司,rsssbxclyxgs,"Rushan Sanpont New Materials Co.,Ltd.",[],[],11,24,93,Pharma Excipients,药用辅料,198,E3——E3,,中国大陆,China Mainland,,,,E3F90,,,0,,2024-05-16 20:29:18,2024-05-16 20:29:18,乳山市上邦新材料有限公司
43727,乳山市太阳干燥剂有限公司,rsstygzjyxgs,"Rushan Taiyang Silica gel CO.,LTD",[],[],11,24,93,Pharma Excipients,药用辅料,195,E6——E6,,中国大陆,China Mainland,,,,E6B27,,,0,,2024-05-16 20:29:19,2024-05-16 20:29:19,乳山市太阳干燥剂有限公司
43508,瑞怡祥（杭州）进出口贸易有限公司,ryxhzjckmyyxgs,"RUIYIXIANG HANGZHOU IMP.& EXP.CO.,LTD",[],[],11,24,91,Pharma Ingredients,制药原料,185,W2——W2,,中国大陆,China Mainland,,,,W2D32a,,,0,,2024-05-16 20:29:18,2024-05-16 20:29:18,瑞怡祥（杭州）进出口贸易有限公司
42228,融域智慧（西安）智能科技有限公司,ryzhxaznkjyxgs,"Massmeet Intelligence（Xi'an） Smart Technology Co., Ltd.",[],[],11,24,92,Contract Services,合同定制,199,E2——E2,,中国大陆,China Mainland,,,,E2D48,,,0,,2024-05-16 20:29:15,2024-05-16 20:29:15,融域智慧（西安）智能科技有限公司
42452,瑞阳制药股份有限公司,ryzygfyxgs,"Reyoung Pharmaceutical Co., Ltd.",[],[],11,24,91,Pharma Ingredients,制药原料,186,W1——W1,,中国大陆,China Mainland,,,,W1D30,,,0,,2024-05-16 20:29:16,2024-05-16 20:29:16,瑞阳制药股份有限公司
42457,斯百全化学（上海）有限公司,sbqhxshyxgs,Spectrum Chemical Manufacturing Corp,[],[],11,24,93,Pharma Excipients,药用辅料,198,E3——E3,,美国,United States,,,,E3A61,,,0,,2024-05-16 20:29:16,2024-05-16 20:29:16,斯百全化学（上海）有限公司
42663,四川安派博生物科技有限公司,scapbswkjyxgs,"Sichuan ampebiochem Co., Ltd.",[],[],11,24,96,Bio Pharma,生物制药,183,W4——W4,,中国大陆,China Mainland,,,,W4G82,,,0,,2024-05-16 20:29:16,2024-05-16 20:29:16,四川安派博生物科技有限公司
44223,四川贝奥生物制药有限公司,scbaswzyyxgs,"Sichuan Biosyn Pharmaceutical Co., Ltd.",[],[],11,24,95,Natural Extracts,天然提取物,196,E5——E5,,中国大陆,China Mainland,,,,E5C88,,,0,,2024-05-16 20:29:20,2024-05-16 20:29:20,四川贝奥生物制药有限公司
44103,四川博浩达生物科技有限公司,scbhdswkjyxgs,"Sichuan Bohaoda Biotechnology Co., Ltd.",[],[],11,24,95,Natural Extracts,天然提取物,197,E4——E4,,中国大陆,China Mainland,,,,E4F20,,,0,,2024-05-16 20:29:20,2024-05-16 20:29:20,四川博浩达生物科技有限公司
42987,四川博佳制药有限公司,scbjzyyxgs,"Sichuan bojia Pharmaceutical Co., Ltd",[],[],11,24,91,Pharma Ingredients,制药原料,180,W7——W7,,中国大陆,China Mainland,,,,W7C33,,,0,,2024-05-16 20:29:17,2024-05-16 20:29:17,四川博佳制药有限公司
43238,四川澄华生物科技有限公司,scchswkjyxgs,"Sichuan Chenghua Bio-technology Co., Ltd.",[],[],11,24,91,Pharma Ingredients,制药原料,178,W9——W9,,中国大陆,China Mainland,,,,W9C18,,,0,,2024-05-16 20:29:18,2024-05-16 20:29:18,四川澄华生物科技有限公司
42763,四川德博尔制药有限公司,scdbezyyxgs,"SICHUAN DEEBIO PHARMACEUTICAL CO., LTD",[],[],11,24,96,Bio Pharma,生物制药,183,W4——W4,,中国大陆,China Mainland,,,,W4D46,,,0,,2024-05-16 20:29:16,2024-05-16 20:29:16,四川德博尔制药有限公司
43604,四川国为制药有限公司,scgwzyyxgs,"Sichuan Gowell Pharmaceutical Co.,Ltd.",[],[],11,24,91,Pharma Ingredients,制药原料,193,E8——E8,,中国大陆,China Mainland,,,,E8D09,,,0,,2024-05-16 20:29:19,2024-05-16 20:29:19,四川国为制药有限公司
44171,四川洪恩植物科技有限公司,schezwkjyxgs,"Hovane Phytochemicals Co., Ltd.",[],[],11,24,95,Natural Extracts,天然提取物,196,E5——E5,,中国大陆,China Mainland,,,,E5F19,,,0,,2024-05-16 20:29:20,2024-05-16 20:29:20,四川洪恩植物科技有限公司
43946,四川慧谷康生物科技有限公司,schgkswkjyxgs,Sichuan Huigukang Biotechnology Co.，Ltd,[],[],11,24,95,Natural Extracts,天然提取物,196,E5——E5,,中国大陆,China Mainland,,,,E5E38,,,0,,2024-05-16 20:29:20,2024-05-16 20:29:20,四川慧谷康生物科技有限公司
43389,四川恒康科技发展有限公司,schkkjfzyxgs,"Sichuan Hengkang Science and Technology Development Co.,Ltd",[],[],11,24,91,Pharma Ingredients,制药原料,177,W10——W10,,中国大陆,China Mainland,,,,W10C15,,,0,,2024-05-16 20:29:18,2024-05-16 20:29:18,四川恒康科技发展有限公司
